direction,device_set,size,device_count,aggregateGBps,totalBytes,elapsedSec,case_status,log,json
d2h,0,4K,1,0.493,1529528320,3.104253,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0-4K/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0-4K/background.json
d2h,01,4K,2,0.946,2938580992,3.105310,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu01-4K/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu01-4K/background.json
d2h,012,4K,3,1.400,4351799296,3.107900,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu012-4K/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu012-4K/background.json
d2h,0123,4K,4,1.900,5908045824,3.109238,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0123-4K/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0123-4K/background.json
d2h,0,1M,1,11.896,36925603840,3.104119,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0-1M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0-1M/background.json
d2h,01,1M,2,12.687,39387660288,3.104455,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu01-1M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu01-1M/background.json
d2h,012,1M,3,13.180,40947941376,3.106730,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu012-1M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu012-1M/background.json
d2h,0123,1M,4,13.284,41272999936,3.107026,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0123-1M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0123-1M/background.json
d2h,0,16M,1,13.053,40550531072,3.106663,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0-16M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0-16M/background.json
d2h,01,16M,2,13.293,41372614656,3.112336,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu01-16M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu01-16M/background.json
d2h,012,16M,3,13.431,41808822272,3.112911,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu012-16M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu012-16M/background.json
d2h,0123,16M,4,13.680,42681237504,3.119956,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0123-16M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0123-16M/background.json
d2h,0,64M,1,13.082,40802189312,3.118889,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0-64M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0-64M/background.json
d2h,01,64M,2,13.432,42077257728,3.132615,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu01-64M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu01-64M/background.json
d2h,012,64M,3,13.682,43083890688,3.148895,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu012-64M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu012-64M/background.json
d2h,0123,64M,4,13.109,41406169088,3.158552,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0123-64M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0123-64M/background.json
d2h,0,255M,1,12.985,40910192640,3.150565,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0-255M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0-255M/background.json
d2h,01,255M,2,13.563,43584061440,3.213466,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu01-255M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu01-255M/background.json
d2h,012,255M,3,13.752,44653608960,3.247168,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu012-255M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu012-255M/background.json
d2h,0123,255M,4,14.853,49733959680,3.348505,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0123-255M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0123-255M/background.json
d2h,0,512M,1,12.816,41339060224,3.225650,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0-512M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0-512M/background.json
d2h,01,512M,2,14.047,46707769344,3.325083,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu01-512M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu01-512M/background.json
d2h,012,512M,3,13.858,47781511168,3.448002,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu012-512M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu012-512M/background.json
d2h,0123,512M,4,16.296,56908316672,3.492152,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0123-512M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/d2h-gpu0123-512M/background.json
h2d,0,4K,1,0.466,1446068224,3.103919,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0-4K/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0-4K/background.json
h2d,01,4K,2,0.928,2975387648,3.204596,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu01-4K/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu01-4K/background.json
h2d,012,4K,3,1.354,4207017984,3.105965,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu012-4K/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu012-4K/background.json
h2d,0123,4K,4,1.764,5482201088,3.107435,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0123-4K/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0123-4K/background.json
h2d,0,1M,1,11.062,34339815424,3.104216,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0-1M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0-1M/background.json
h2d,01,1M,2,11.922,37019975680,3.105256,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu01-1M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu01-1M/background.json
h2d,012,1M,3,12.394,38503710720,3.106580,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu012-1M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu012-1M/background.json
h2d,0123,1M,4,12.560,39016464384,3.106363,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0123-1M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0123-1M/background.json
h2d,0,16M,1,12.290,38184943616,3.107088,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0-16M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0-16M/background.json
h2d,01,16M,2,12.455,38788923392,3.114350,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu01-16M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu01-16M/background.json
h2d,012,16M,3,12.507,38956695552,3.114877,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu012-16M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu012-16M/background.json
h2d,0123,16M,4,12.338,38453379072,3.116664,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0123-16M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0123-16M/background.json
h2d,0,64M,1,12.314,38386270208,3.117408,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0-64M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0-64M/background.json
h2d,01,64M,2,12.639,39527120896,3.127319,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu01-64M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu01-64M/background.json
h2d,012,64M,3,12.917,40667971584,3.148384,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu012-64M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu012-64M/background.json
h2d,0123,64M,4,12.273,38654705664,3.149541,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0123-64M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0123-64M/background.json
h2d,0,255M,1,12.226,38503710720,3.149381,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0-255M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0-255M/background.json
h2d,01,255M,2,12.880,41444966400,3.217890,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu01-255M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu01-255M/background.json
h2d,012,255M,3,12.061,39305871360,3.258791,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu012-255M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu012-255M/background.json
h2d,0123,255M,4,14.115,46525317120,3.296210,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0123-255M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0123-255M/background.json
h2d,0,512M,1,12.084,38654705664,3.198955,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0-512M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0-512M/background.json
h2d,01,512M,2,13.172,43486543872,3.301524,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu01-512M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu01-512M/background.json
h2d,012,512M,3,13.131,44560285696,3.393480,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu012-512M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu012-512M/background.json
h2d,0123,512M,4,13.489,47781511168,3.542307,pass,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0123-512M/background.log,doc/results/gpu-contention/host-copy-matrix/first-pass/h2d-gpu0123-512M/background.json
