streamMode,streamDependency,repeats,repetition,scenario,size,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,status,d2dJson,backgroundJson,d2dLog,backgroundLog
per-source,none,20,1,none,255M,176.998,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-1/none/d2d.log,NA
per-source,none,20,1,d2h-all,255M,127.866,14.966,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-1/d2h-all/background.log
per-source,none,20,2,none,255M,179.814,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-2/none/d2d.log,NA
per-source,none,20,2,d2h-all,255M,128.179,15.278,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-2/d2h-all/background.log
per-source,none,20,3,none,255M,179.794,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-3/none/d2d.log,NA
per-source,none,20,3,d2h-all,255M,127.832,15.690,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-20/repetition-3/d2h-all/background.log
per-source,none,300,1,none,255M,188.959,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-1/none/d2d.log,NA
per-source,none,300,1,d2h-all,255M,160.120,12.223,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-1/d2h-all/background.log
per-source,none,300,2,none,255M,188.915,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-2/none/d2d.log,NA
per-source,none,300,2,d2h-all,255M,160.328,12.496,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q1-source-chain/20260826T102517Z-219542/stream-per-source/dependency-none/repeats-300/repetition-2/d2h-all/background.log
