streamsPerSource,repeats,repetition,scenario,size,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,status,d2dJson,backgroundJson,d2dLog,backgroundLog
1,20,1,none,255M,176.243,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-1/none/d2d.log,NA
1,20,1,d2h-all,255M,127.756,14.215,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-1/d2h-all/background.log
1,20,2,none,255M,179.825,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-2/none/d2d.log,NA
1,20,2,d2h-all,255M,127.686,11.567,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-2/d2h-all/background.log
1,20,3,none,255M,179.828,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-3/none/d2d.log,NA
1,20,3,d2h-all,255M,128.083,11.843,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-20/repetition-3/d2h-all/background.log
1,300,1,none,255M,188.956,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-300/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-300/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-300/repetition-1/none/d2d.log,NA
1,300,1,d2h-all,255M,160.355,12.807,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-300/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-300/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-300/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-300/repetition-1/d2h-all/background.log
1,300,2,none,255M,188.957,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-300/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-300/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-300/repetition-2/none/d2d.log,NA
1,300,2,d2h-all,255M,160.363,12.767,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-300/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-300/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-300/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-1/repeats-300/repetition-2/d2h-all/background.log
