permutationId,permutation,repeats,repetition,scenario,size,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,status,d2dJson,backgroundJson,d2dLog,backgroundLog
012,"0,1,2",20,1,none,255M,175.918,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-1/none/d2d.log,NA
012,"0,1,2",20,1,d2h-all,255M,127.895,15.226,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-1/d2h-all/background.log
012,"0,1,2",20,2,none,255M,179.823,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-2/none/d2d.log,NA
012,"0,1,2",20,2,d2h-all,255M,127.943,14.716,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-2/d2h-all/background.log
012,"0,1,2",20,3,none,255M,179.825,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-3/none/d2d.log,NA
012,"0,1,2",20,3,d2h-all,255M,127.625,15.432,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-20/repetition-3/d2h-all/background.log
012,"0,1,2",300,1,none,255M,188.916,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-300/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-300/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-300/repetition-1/none/d2d.log,NA
012,"0,1,2",300,1,d2h-all,255M,160.399,12.309,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-300/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-300/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-300/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-300/repetition-1/d2h-all/background.log
012,"0,1,2",300,2,none,255M,188.919,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-300/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-300/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-300/repetition-2/none/d2d.log,NA
012,"0,1,2",300,2,d2h-all,255M,160.693,12.907,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-300/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-300/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-300/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-012/repeats-300/repetition-2/d2h-all/background.log
