offsetId,offsetsUs,repeats,repetition,scenario,size,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,status,d2dJson,backgroundJson,d2dLog,backgroundLog
offset-0,"0,0,0,0",20,1,none,255M,176.402,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-1/none/d2d.log,NA
offset-0,"0,0,0,0",20,1,d2h-all,255M,127.784,13.953,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-1/d2h-all/background.log
offset-0,"0,0,0,0",20,2,none,255M,179.861,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-2/none/d2d.log,NA
offset-0,"0,0,0,0",20,2,d2h-all,255M,127.887,14.629,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-2/d2h-all/background.log
offset-0,"0,0,0,0",20,3,none,255M,179.771,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-3/none/d2d.log,NA
offset-0,"0,0,0,0",20,3,d2h-all,255M,127.924,16.332,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-20/repetition-3/d2h-all/background.log
offset-0,"0,0,0,0",300,1,none,255M,188.874,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-1/none/d2d.log,NA
offset-0,"0,0,0,0",300,1,d2h-all,255M,161.968,12.766,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-1/d2h-all/background.log
offset-0,"0,0,0,0",300,2,none,255M,188.835,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-2/none/d2d.log,NA
offset-0,"0,0,0,0",300,2,d2h-all,255M,159.623,13.115,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-2/d2h-all/background.log
offset-0,"0,0,0,0",300,3,none,255M,188.877,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-3/none/d2d.log,NA
offset-0,"0,0,0,0",300,3,d2h-all,255M,159.525,12.666,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-0/repeats-300/repetition-3/d2h-all/background.log
offset-1,"0,250,500,750",20,1,none,255M,179.713,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-1/none/d2d.log,NA
offset-1,"0,250,500,750",20,1,d2h-all,255M,127.634,14.214,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-1/d2h-all/background.log
offset-1,"0,250,500,750",20,2,none,255M,179.738,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-2/none/d2d.log,NA
offset-1,"0,250,500,750",20,2,d2h-all,255M,128.001,14.840,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-2/d2h-all/background.log
offset-1,"0,250,500,750",20,3,none,255M,179.707,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-3/none/d2d.log,NA
offset-1,"0,250,500,750",20,3,d2h-all,255M,127.865,13.095,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-1/repeats-20/repetition-3/d2h-all/background.log
