#gpu, pwr, gtemp, mtemp, sm, mem, enc, dec, jpg, ofa, mclk, pclk, fb, bar1, ccpm, rxpci, txpci
#Idx, W, C, C, %, %, %, %, %, %, MHz, MHz, MB, MB, MB, MB/s, MB/s
 0, 45, 39, 39, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 1, 43, 34, 34, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 2, 43, 34, 33, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 3, 44, 38, 38, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 0, 45, 39, 39, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 1, 43, 34, 34, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 3, 0
 2, 43, 34, 34, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 4, 0
 3, 44, 38, 38, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 20
 0, 45, 39, 39, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 1, 43, 34, 34, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 2, 43, 34, 33, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 3, 44, 38, 38, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 0, 61, 39, 39, 0, 0, 0, 0, -, -, 877, 1290, 312, 5, 0, 0, 0
 1, 59, 35, 34, 0, 0, 0, 0, -, -, 877, 1290, 312, 5, 0, 0, 0
 2, 59, 35, 33, 1, 0, 0, 0, -, -, 877, 1290, 312, 5, 0, 0, 2
 3, 61, 38, 38, 0, 0, 0, 0, -, -, 877, 1290, 312, 5, 0, 59, 0
 0, 73, 40, 40, 100, 1, 0, 0, -, -, 877, 1530, 570, 5, 0, 0, 3553
 1, 70, 36, 34, 100, 1, 0, 0, -, -, 877, 1530, 570, 5, 0, 0, 3552
 2, 71, 35, 34, 100, 1, 0, 0, -, -, 877, 1530, 570, 5, 0, 0, 3559
 3, 74, 39, 39, 100, 1, 0, 0, -, -, 877, 1530, 570, 5, 0, 1, 8619
 0, 82, 40, 41, 100, 14, 0, 0, -, -, 877, 1530, 1902, 7, 0, 419, 3269
 1, 77, 36, 35, 100, 14, 0, 0, -, -, 877, 1530, 1902, 7, 0, 605, 2720
 2, 78, 36, 35, 100, 14, 0, 0, -, -, 877, 1530, 1902, 7, 0, 601, 2886
 3, 79, 40, 40, 100, 15, 0, 0, -, -, 877, 1530, 1902, 7, 0, 531, 3324
 0, 78, 40, 41, 100, 15, 0, 0, -, -, 877, 1530, 1902, 7, 0, 566, 2615
 1, 76, 36, 35, 100, 14, 0, 0, -, -, 877, 1530, 1902, 7, 0, 618, 3318
 2, 77, 36, 35, 100, 14, 0, 0, -, -, 877, 1530, 1902, 7, 0, 499, 2921
 3, 80, 40, 41, 100, 15, 0, 0, -, -, 877, 1530, 1902, 7, 0, 368, 3133
 0, 81, 41, 42, 100, 15, 0, 0, -, -, 877, 1530, 1902, 7, 0, 445, 2735
 1, 79, 36, 36, 100, 16, 0, 0, -, -, 877, 1530, 1902, 7, 0, 215, 6340
 2, 78, 36, 36, 100, 14, 0, 0, -, -, 877, 1530, 1902, 7, 0, 443, 2735
 3, 83, 40, 41, 100, 15, 0, 0, -, -, 877, 1530, 1902, 7, 0, 547, 2527
 0, 82, 41, 42, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 193, 3529
 1, 80, 37, 36, 100, 19, 0, 0, -, -, 877, 1530, 1902, 7, 0, 189, 3547
 2, 80, 37, 36, 100, 18, 0, 0, -, -, 877, 1530, 1902, 7, 0, 174, 3556
 3, 84, 40, 42, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 210, 3507
 0, 82, 41, 42, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 206, 3517
 1, 81, 37, 36, 100, 19, 0, 0, -, -, 877, 1530, 1902, 7, 0, 180, 3542
 2, 81, 37, 36, 100, 19, 0, 0, -, -, 877, 1530, 1902, 7, 0, 162, 3557
 3, 85, 40, 42, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 167, 3544
 0, 83, 41, 42, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 199, 3502
 1, 81, 37, 36, 100, 19, 0, 0, -, -, 877, 1530, 1902, 7, 0, 160, 3555
 2, 81, 37, 37, 100, 19, 0, 0, -, -, 877, 1530, 1902, 7, 0, 175, 3545
 3, 84, 41, 42, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 178, 3526
#gpu, pwr, gtemp, mtemp, sm, mem, enc, dec, jpg, ofa, mclk, pclk, fb, bar1, ccpm, rxpci, txpci
#Idx, W, C, C, %, %, %, %, %, %, MHz, MHz, MB, MB, MB, MB/s, MB/s
 0, 83, 41, 42, 100, 19, 0, 0, -, -, 877, 1530, 1902, 7, 0, 195, 3503
 1, 80, 37, 36, 100, 19, 0, 0, -, -, 877, 1530, 1902, 7, 0, 172, 3541
 2, 82, 37, 37, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 162, 3559
 3, 84, 41, 42, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 181, 3526
 0, 82, 41, 43, 100, 19, 0, 0, -, -, 877, 1530, 1902, 7, 0, 133, 3528
 1, 80, 37, 37, 100, 19, 0, 0, -, -, 877, 1530, 1902, 7, 0, 99, 3567
 2, 81, 37, 37, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 112, 3535
 3, 84, 41, 42, 100, 19, 0, 0, -, -, 877, 1530, 1902, 7, 0, 101, 3555
 0, 73, 41, 41, 100, 1, 0, 0, -, -, 877, 1530, 312, 5, 0, 0, 0
 1, 71, 37, 36, 100, 2, 0, 0, -, -, 877, 1530, 314, 5, 0, 2, 0
 2, 71, 37, 35, 46, 1, 0, 0, -, -, 877, 1530, 312, 5, 0, 1, 0
 3, 74, 41, 41, 45, 1, 0, 0, -, -, 877, 1530, 312, 5, 0, 3, 0
 0, 73, 41, 41, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 1, 71, 37, 35, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 2, 71, 37, 35, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 3, 74, 41, 41, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 2, 0
