mode,repeats,repetition,scenario,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,d2dJson,backgroundJson
async,20,1,none,176.523,NA,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-1/none/async/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-1/none/async/background.json
sync,20,1,none,179.109,NA,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-1/none/sync/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-1/none/sync/background.json
async,20,1,d2h-gpu0,129.486,11.129,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-1/d2h-gpu0/async/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-1/d2h-gpu0/async/background.json
sync,20,1,d2h-gpu0,129.746,11.281,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-1/d2h-gpu0/sync/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-1/d2h-gpu0/sync/background.json
async,20,1,d2h-all,127.823,15.662,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-1/d2h-all/async/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-1/d2h-all/async/background.json
sync,20,1,d2h-all,127.133,11.987,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-1/d2h-all/sync/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-1/d2h-all/sync/background.json
async,20,2,none,179.806,NA,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-2/none/async/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-2/none/async/background.json
sync,20,2,none,178.720,NA,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-2/none/sync/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-2/none/sync/background.json
async,20,2,d2h-gpu0,129.766,11.180,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-2/d2h-gpu0/async/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-2/d2h-gpu0/async/background.json
sync,20,2,d2h-gpu0,130.247,11.269,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-2/d2h-gpu0/sync/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-2/d2h-gpu0/sync/background.json
