#gpu, pwr, gtemp, mtemp, sm, mem, enc, dec, jpg, ofa, mclk, pclk, fb, bar1, ccpm, rxpci, txpci
#Idx, W, C, C, %, %, %, %, %, %, MHz, MHz, MB, MB, MB, MB/s, MB/s
 0, 44, 37, 38, 1, 0, 0, 0, -, -, 877, 135, 4, 3, 0, 58, 0
 1, 43, 34, 33, 2, 0, 0, 0, -, -, 877, 135, 16, 3, 0, 0, 0
 2, 43, 33, 32, 1, 0, 0, 0, -, -, 877, 135, 16, 5, 0, 87, 0
 3, 44, 37, 37, 2, 0, 0, 0, -, -, 877, 135, 16, 5, 0, 8, 0
 0, 60, 38, 38, 0, 0, 0, 0, -, -, 877, 1290, 314, 5, 0, 2, 0
 1, 59, 35, 33, 0, 0, 0, 0, -, -, 877, 1290, 570, 5, 0, 0, 2424
 2, 60, 34, 33, 1, 0, 0, 0, -, -, 877, 1290, 570, 5, 0, 0, 3546
 3, 62, 38, 38, 0, 0, 0, 0, -, -, 877, 1290, 570, 5, 0, 0, 3722
 0, 72, 39, 38, 100, 1, 0, 0, -, -, 877, 1530, 596, 7, 0, 18, 3660
 1, 70, 35, 34, 100, 1, 0, 0, -, -, 877, 1530, 582, 7, 0, 12, 3548
 2, 71, 35, 33, 100, 1, 0, 0, -, -, 877, 1530, 570, 5, 0, 0, 3553
 3, 74, 39, 38, 100, 1, 0, 0, -, -, 877, 1530, 570, 5, 0, 0, 3675
 0, 78, 39, 39, 100, 14, 0, 0, -, -, 877, 1530, 1902, 7, 0, 538, 2753
 1, 77, 36, 35, 100, 14, 0, 0, -, -, 877, 1530, 1902, 7, 0, 522, 3473
 2, 78, 35, 34, 100, 14, 0, 0, -, -, 877, 1530, 1902, 7, 0, 432, 2792
 3, 82, 39, 40, 100, 15, 0, 0, -, -, 877, 1530, 1902, 7, 0, 511, 2743
 0, 81, 39, 40, 100, 15, 0, 0, -, -, 877, 1530, 1902, 7, 0, 448, 3881
 1, 77, 36, 35, 100, 14, 0, 0, -, -, 877, 1530, 1902, 7, 0, 616, 3496
 2, 77, 35, 34, 100, 14, 0, 0, -, -, 877, 1530, 1902, 7, 0, 607, 3219
 3, 79, 39, 40, 100, 14, 0, 0, -, -, 877, 1530, 1902, 7, 0, 495, 3074
 0, 82, 39, 40, 100, 15, 0, 0, -, -, 877, 1530, 1902, 7, 0, 206, 3494
 1, 79, 36, 35, 100, 17, 0, 0, -, -, 877, 1530, 1902, 7, 0, 177, 3489
 2, 80, 36, 35, 100, 18, 0, 0, -, -, 877, 1530, 1902, 7, 0, 181, 3538
 3, 83, 39, 41, 100, 19, 0, 0, -, -, 877, 1530, 1902, 7, 0, 190, 3521
 0, 82, 39, 41, 100, 19, 0, 0, -, -, 877, 1530, 1902, 7, 0, 185, 3523
 1, 80, 36, 36, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 183, 3522
 2, 81, 36, 35, 100, 19, 0, 0, -, -, 877, 1530, 1902, 7, 0, 163, 3560
 3, 83, 40, 41, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 186, 3533
 0, 82, 40, 41, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 190, 3522
 1, 80, 36, 36, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 184, 3524
 2, 80, 36, 36, 100, 19, 0, 0, -, -, 877, 1530, 1902, 7, 0, 158, 3571
 3, 84, 40, 41, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 177, 3537
 0, 82, 40, 41, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 185, 3520
 1, 80, 37, 36, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 180, 3524
 2, 80, 36, 36, 100, 19, 0, 0, -, -, 877, 1530, 1902, 7, 0, 172, 3553
 3, 85, 40, 41, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 182, 3525
 0, 81, 40, 41, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 186, 3620
 1, 81, 37, 36, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 190, 3542
 2, 81, 36, 36, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 170, 3571
 3, 84, 40, 42, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 189, 3521
 0, 83, 40, 41, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 81, 3535
 1, 80, 37, 36, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 63, 3554
 2, 81, 37, 36, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 55, 3549
 3, 83, 40, 42, 100, 20, 0, 0, -, -, 877, 1530, 1902, 7, 0, 50, 3545
#gpu, pwr, gtemp, mtemp, sm, mem, enc, dec, jpg, ofa, mclk, pclk, fb, bar1, ccpm, rxpci, txpci
#Idx, W, C, C, %, %, %, %, %, %, MHz, MHz, MB, MB, MB, MB/s, MB/s
 0, 72, 40, 40, 0, 0, 0, 0, -, -, 877, 1530, 308, 4, 0, 11, 0
 1, 71, 37, 35, 1, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 2, 71, 37, 35, 2, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 3, 74, 40, 40, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 0, 72, 40, 40, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 1, 71, 37, 35, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 1, 0
 2, 71, 36, 35, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 3, 74, 40, 40, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 0, 46, 40, 39, 0, 0, 0, 0, -, -, 877, 465, 0, 2, 0, 0, 0
 1, 46, 36, 35, 0, 0, 0, 0, -, -, 877, 525, 0, 2, 0, 0, 0
 2, 45, 36, 34, 0, 0, 0, 0, -, -, 877, 435, 0, 2, 0, 0, 0
 3, 48, 39, 40, 0, 0, 0, 0, -, -, 877, 495, 0, 2, 0, 2, 0
 0, 46, 39, 39, 0, 0, 0, 0, -, -, 877, 465, 0, 2, 0, 0, 0
 1, 46, 36, 35, 0, 0, 0, 0, -, -, 877, 525, 0, 2, 0, 0, 0
 2, 44, 35, 34, 0, 0, 0, 0, -, -, 877, 435, 0, 2, 0, 0, 0
 3, 48, 39, 39, 0, 0, 0, 0, -, -, 877, 495, 0, 2, 0, 0, 0
