#gpu, pwr, gtemp, mtemp, sm, mem, enc, dec, jpg, ofa, mclk, pclk, fb, bar1, ccpm, rxpci, txpci
#Idx, W, C, C, %, %, %, %, %, %, MHz, MHz, MB, MB, MB, MB/s, MB/s
 0, 44, 37, 37, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 1, 42, 33, 32, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 2, 43, 32, 31, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 3, 44, 36, 36, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 0, 61, 37, 37, 0, 0, 0, 0, -, -, 877, 1290, 312, 5, 0, 15, 1
 1, 66, 33, 32, 6, 2, 0, 0, -, -, 877, 1290, 1336, 5, 0, 4, 1
 2, 67, 32, 31, 3, 0, 0, 0, -, -, 877, 1290, 1336, 5, 0, 6, 1
 3, 69, 37, 37, 2, 0, 0, 0, -, -, 877, 1290, 1336, 5, 0, 5, 1
 0, 80, 38, 39, 100, 20, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1203, 233
 1, 78, 34, 34, 100, 18, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1188, 253
 2, 79, 33, 33, 100, 18, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1129, 230
 3, 84, 38, 39, 100, 19, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1139, 239
 0, 81, 39, 40, 100, 21, 0, 0, -, -, 877, 1530, 1336, 5, 0, 938, 196
 1, 78, 35, 34, 100, 20, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1010, 201
 2, 81, 34, 34, 100, 20, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1034, 208
 3, 83, 38, 40, 100, 20, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1064, 220
 0, 81, 39, 40, 100, 21, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1017, 204
 1, 79, 35, 34, 100, 20, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1015, 213
 2, 80, 34, 34, 100, 20, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1021, 214
 3, 82, 38, 40, 100, 20, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1035, 194
 0, 81, 39, 40, 100, 21, 0, 0, -, -, 877, 1530, 1336, 5, 0, 992, 199
 1, 80, 35, 35, 100, 20, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1083, 224
 2, 79, 34, 34, 100, 20, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1105, 225
 3, 84, 39, 40, 100, 21, 0, 0, -, -, 877, 1530, 1336, 5, 0, 983, 201
 0, 82, 39, 40, 100, 21, 0, 0, -, -, 877, 1530, 1336, 5, 0, 963, 191
 1, 79, 35, 35, 100, 20, 0, 0, -, -, 877, 1530, 1336, 5, 0, 977, 199
 2, 79, 35, 34, 100, 20, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1025, 201
 3, 85, 39, 40, 100, 21, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1066, 220
 0, 83, 39, 40, 100, 21, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1044, 218
 1, 78, 35, 35, 100, 20, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1067, 209
 2, 80, 35, 34, 100, 20, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1046, 209
 3, 84, 39, 40, 100, 21, 0, 0, -, -, 877, 1530, 1336, 5, 0, 1033, 218
 0, 81, 39, 41, 100, 21, 0, 0, -, -, 877, 1530, 1336, 5, 0, 329, 66
 1, 79, 35, 35, 100, 20, 0, 0, -, -, 877, 1530, 1336, 5, 0, 306, 60
 2, 81, 35, 35, 100, 20, 0, 0, -, -, 877, 1530, 1336, 5, 0, 258, 55
 3, 83, 39, 41, 100, 21, 0, 0, -, -, 877, 1530, 1336, 5, 0, 225, 46
 0, 72, 39, 39, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 1, 69, 35, 34, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 2, 70, 35, 33, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 3, 73, 39, 39, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 0, 72, 39, 39, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 1, 69, 36, 34, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 2, 70, 35, 33, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 3, 73, 39, 39, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
#gpu, pwr, gtemp, mtemp, sm, mem, enc, dec, jpg, ofa, mclk, pclk, fb, bar1, ccpm, rxpci, txpci
#Idx, W, C, C, %, %, %, %, %, %, MHz, MHz, MB, MB, MB, MB/s, MB/s
 0, 72, 39, 39, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 1, 69, 36, 34, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 2, 70, 35, 33, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 3, 73, 39, 39, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
